Item.Word,coda_has_nlr,onset_has_nlr
bad,no,no
bed,no,no
bud,no,no
but,no,no
cooed,no,no
cut,no,no
feed,no,no
feet,no,no
find,yes,no
fond,yes,no
gild,yes,no
god,no,no
good,no,no
got,no,no
killed,yes,no
lad,no,yes
late,no,yes
neat,no,yes
need,no,yes
night,no,yes
not,no,yes
pat,no,no
pet,no,no
pond,yes,no
pot,no,no
pound,yes,no
pout,no,no
put,no,no
ride,no,yes
rode,no,yes
sad,no,no
said,no,no
shout,no,no
silt,yes,no
soot,no,no
vet,no,no
wait,no,no
white,no,no
rod,no,yes
shot,no,no
sit,no,no
aid,no,no
alongside,no,no
apprehend,yes,no
card,no,no
cart,no,no
cent,yes,no
charred,no,no
chart,no,no
coat,no,no
cod,no,no
code,no,no
coincide,no,no
cold,yes,no
colt,yes,no
command,yes,yes
comprehend,yes,no
concerned,yes,no
cord,no,no
correspond,yes,no
cot,no,no
court,no,no
cued,no,no
cute,no,no
dead,no,no
debt,no,no
eight,no,no
emerald,yes,yes
episode,no,no
fad,no,no
fade,no,no
fat,no,no
fate,no,no
font,yes,no
ford,no,no
fort,no,no
fried,no,no
fright,no,no
had,no,no
haphazard,no,no
hard,no,no
hat,no,no
heart,no,no
heat,no,no
heed,no,no
height,no,no
herd,no,no
hid,no,no
hide,no,no
hit,no,no
household,yes,no
hurt,no,no
invalid,no,yes
kid,no,no
kit,no,no
knot,no,yes
laid,no,yes
led,no,yes
lemonade,no,yes
let,no,yes
likelihood,no,no
mad,no,yes
made,no,yes
marinade,no,yes
mat,no,yes
mate,no,yes
mead,no,yes
meant,yes,yes
meat,no,yes
mend,yes,yes
moat,no,yes
mode,no,yes
mood,no,yes
moot,no,yes
mound,yes,yes
mount,yes,yes
mud,no,yes
mutt,no,yes
nod,no,yes
node,no,yes
note,no,yes
oat,no,no
overhead,no,no
overload,no,yes
owed,no,no
pad,no,no
plate,no,yes
played,no,yes
plead,no,yes
pleat,no,yes
plod,no,yes
plot,no,yes
pod,no,no
preconceived,no,no
profound,yes,no
pyramid,no,yes
qualified,no,no
raid,no,yes
railroad,no,yes
rate,no,yes
recommend,yes,yes
reserved,no,no
reverend,yes,yes
right,no,yes
riverside,no,no
road,no,yes
root,no,yes
rot,no,yes
rude,no,yes
sat,no,no
seat,no,no
seed,no,no
send,yes,no
set,no,no
side,no,no
sight,no,no
skid,no,no
skit,no,no
slid,no,yes
slide,no,yes
slight,no,yes
slit,no,yes
spade,no,no
spate,no,no
Swede,no,no
sweet,no,no
unemployed,no,yes
unmarried,no,yes
unparalleled,yes,yes
unprepared,no,no
wade,no,no
wed,no,no
weed,no,no
wet,no,no
wheat,no,no
wide,no,no
wrote,no,yes